dataset;#TrainingRelease;%Training;%Defective in Training;%Defective in Testing;Classifier;Balancing;Feature Selection;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;IBk;No Balancing;No Selection;No Sensitivity;132.0;64.0;0.0;1.0;0.673469387755102;0.9924812030075187;0.6893209586466166;-0.010097026110278465
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;IBk;No Balancing;No Selection;Sensitive Threshold;132.0;64.0;0.0;1.0;0.673469387755102;0.9924812030075187;0.49624060150375937;-0.010097026110278465
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;IBk;No Balancing;No Selection;Sensitive Learning;85.0;17.0;47.0;48.0;0.8333333333333334;0.6390977443609023;0.6879111842105263;0.3317852110838595
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;IBk;No Balancing;No Selection;Sensitive Learning;85.0;17.0;47.0;48.0;0.8333333333333334;0.6390977443609023;0.6879111842105263;0.3317852110838595
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;Naive Bayes;No Balancing;No Selection;No Sensitivity;97.0;20.0;44.0;36.0;0.8290598290598291;0.7293233082706767;0.7501762218045113;0.39143865842894976
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;Naive Bayes;No Balancing;No Selection;Sensitive Threshold;97.0;20.0;44.0;36.0;0.8290598290598291;0.7293233082706767;0.7084116541353384;0.39143865842894976
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;Naive Bayes;No Balancing;No Selection;Sensitive Learning;90.0;14.0;50.0;43.0;0.8653846153846154;0.6766917293233082;0.7596921992481203;0.4097766097240474
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;Naive Bayes;No Balancing;No Selection;Sensitive Learning;90.0;14.0;50.0;43.0;0.8653846153846154;0.6766917293233082;0.7596921992481203;0.4097766097240474
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;Random Forest;No Balancing;No Selection;No Sensitivity;131.0;63.0;1.0;2.0;0.6752577319587629;0.9849624060150376;0.7339050751879699;7.80335544284111E-4
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;Random Forest;No Balancing;No Selection;Sensitive Threshold;131.0;63.0;1.0;2.0;0.6752577319587629;0.9849624060150376;0.5002937030075187;7.80335544284111E-4
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;Random Forest;No Balancing;No Selection;Sensitive Learning;20.0;2.0;62.0;113.0;0.9090909090909091;0.15037593984962405;0.7448895676691729;0.08216181177328533
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;Random Forest;No Balancing;No Selection;Sensitive Learning;20.0;2.0;62.0;113.0;0.9090909090909091;0.15037593984962405;0.7448895676691729;0.08216181177328533
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;IBk;Undersampling;No Selection;No Sensitivity;109.0;52.0;12.0;24.0;0.6770186335403726;0.8195488721804511;0.5462875939849624;0.007951232441028206
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;IBk;Undersampling;No Selection;Sensitive Threshold;109.0;52.0;12.0;24.0;0.6770186335403726;0.8195488721804511;0.5035244360902256;0.007951232441028206
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;IBk;Undersampling;No Selection;Sensitive Learning;133.0;64.0;0.0;0.0;0.6751269035532995;1.0;0.3479205827067669;0.0
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;IBk;Undersampling;No Selection;Sensitive Learning;133.0;64.0;0.0;0.0;0.6751269035532995;1.0;0.35802396616541354;0.0
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;Naive Bayes;Undersampling;No Selection;No Sensitivity;70.0;9.0;55.0;63.0;0.8860759493670886;0.5263157894736842;0.7512922932330827;0.31643373493975907
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;Naive Bayes;Undersampling;No Selection;Sensitive Threshold;70.0;9.0;55.0;63.0;0.8860759493670886;0.5263157894736842;0.6928453947368421;0.31643373493975907
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;Naive Bayes;Undersampling;No Selection;Sensitive Learning;133.0;64.0;0.0;0.0;0.6751269035532995;1.0;0.40225563909774437;0.0
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;Naive Bayes;Undersampling;No Selection;Sensitive Learning;133.0;64.0;0.0;0.0;0.6751269035532995;1.0;0.40225563909774437;0.0
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;Random Forest;Undersampling;No Selection;No Sensitivity;112.0;30.0;34.0;21.0;0.7887323943661971;0.8421052631578947;0.7554628759398496;0.38749009327562034
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;Random Forest;Undersampling;No Selection;Sensitive Threshold;112.0;30.0;34.0;21.0;0.7887323943661971;0.8421052631578947;0.6866776315789473;0.38749009327562034
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;Random Forest;Undersampling;No Selection;Sensitive Learning;53.0;12.0;52.0;80.0;0.8153846153846154;0.39849624060150374;0.6781602443609023;0.16540799410572854
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;Random Forest;Undersampling;No Selection;Sensitive Learning;53.0;12.0;52.0;80.0;0.8153846153846154;0.39849624060150374;0.6781602443609023;0.16540799410572854
BOOKKEEPER;1;0.5491991;0.5416667;0.6751269;IBk;Oversampling;No Selection;No Sensitivity;127.0;55.0;9.0;6.0;0.6978021978021978;0.9548872180451128;0.5419407894736842;0.11918199809426082
