dataset;#TrainingRelease;%Training;%Defective in Training;%Defective in Testing;Classifier;Balancing;Feature Selection;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
SYNCOPE;1;0.872814;0.18397085;0.05;IBk;No Balancing;No Selection;No Sensitivity;1.0;19.0;57.0;3.0;0.05;0.25;0.31743421052631576;0.0
SYNCOPE;1;0.872814;0.18397085;0.05;IBk;No Balancing;No Selection;Sensitive Threshold;1.0;19.0;57.0;3.0;0.05;0.25;0.5;0.0
SYNCOPE;1;0.872814;0.18397085;0.05;IBk;No Balancing;No Selection;Sensitive Learning;0.0;2.0;74.0;4.0;0.0;0.0;0.5526315789473685;-0.03448275862068892
SYNCOPE;1;0.872814;0.18397085;0.05;IBk;No Balancing;No Selection;Sensitive Learning;0.0;2.0;74.0;4.0;0.0;0.0;0.5526315789473685;-0.03448275862068892
SYNCOPE;1;0.872814;0.18397085;0.05;Naive Bayes;No Balancing;No Selection;No Sensitivity;2.0;15.0;61.0;2.0;0.11764705882352941;0.5;0.819078947368421;0.11917098445595833
SYNCOPE;1;0.872814;0.18397085;0.05;Naive Bayes;No Balancing;No Selection;Sensitive Threshold;2.0;15.0;61.0;2.0;0.11764705882352941;0.5;0.6513157894736842;0.11917098445595833
SYNCOPE;1;0.872814;0.18397085;0.05;Naive Bayes;No Balancing;No Selection;Sensitive Learning;2.0;16.0;60.0;2.0;0.1111111111111111;0.5;0.7631578947368421;0.10891089108910881
SYNCOPE;1;0.872814;0.18397085;0.05;Naive Bayes;No Balancing;No Selection;Sensitive Learning;2.0;16.0;60.0;2.0;0.1111111111111111;0.5;0.7631578947368421;0.10891089108910881
SYNCOPE;1;0.872814;0.18397085;0.05;Random Forest;No Balancing;No Selection;No Sensitivity;1.0;12.0;64.0;3.0;0.07692307692307693;0.25;0.694078947368421;0.04458598726114667
SYNCOPE;1;0.872814;0.18397085;0.05;Random Forest;No Balancing;No Selection;Sensitive Threshold;1.0;12.0;64.0;3.0;0.07692307692307693;0.25;0.5460526315789473;0.04458598726114667
SYNCOPE;1;0.872814;0.18397085;0.05;Random Forest;No Balancing;No Selection;Sensitive Learning;0.0;0.0;76.0;4.0;NaN;0.0;0.7335526315789473;0.0
SYNCOPE;1;0.872814;0.18397085;0.05;Random Forest;No Balancing;No Selection;Sensitive Learning;0.0;0.0;76.0;4.0;NaN;0.0;0.7335526315789473;0.0
SYNCOPE;1;0.872814;0.18397085;0.05;IBk;Undersampling;No Selection;No Sensitivity;4.0;75.0;1.0;0.0;0.05063291139240506;1.0;0.506578947368421;0.0013315579227696417
SYNCOPE;1;0.872814;0.18397085;0.05;IBk;Undersampling;No Selection;Sensitive Threshold;4.0;75.0;1.0;0.0;0.05063291139240506;1.0;0.506578947368421;0.0013315579227696417
SYNCOPE;1;0.872814;0.18397085;0.05;IBk;Undersampling;No Selection;Sensitive Learning;4.0;75.0;1.0;0.0;0.05063291139240506;1.0;0.4934210526315789;0.0013315579227696417
